source_id,company,issue_family,article_title,url,date_accessed,visible_last_updated_date,article_type,summary,user_action_required,policy_conditions,refund_or_credit_language,escalation_path,account_specific_dependency,evidence_type,source_dependency_notes,freshness_notes
DD-001,DoorDash,missing_delivery,"What can I do if I did not receive my order?",https://help.doordash.com/en-us/consumers/article/i-never-received-my-doordash-order,2026-06-01,not visible,help_article,"Explains how customers can report an order that did not arrive through DoorDash account help, mobile app, or desktop. The article says DoorDash investigates reports of orders not delivered and routes users through prompts to select a resolution or chat with an agent.","Report the issue from Orders > Help > Delivery Issues > Order never arrived, then follow prompts to select a resolution or chat with an agent.","DoorDash states it investigates every reported never-delivered order, but does not publish explicit refund eligibility rules on this page.","The article mentions selecting a resolution, chatting with an agent, and contacting live support. It also includes chat and phone support options.","Yes. Resolution depends on the specific order and DoorDash review.",procedural_step,"The answer depends on an app/account flow after selecting the specific order. Public article provides reporting steps but not final eligibility logic.","No visible last-updated date observed; article shows 2 min read."
UB-001,Uber,missing_ride_or_trip_not_taken,"I would like to get a refund on the trip I didn't take",https://help.uber.com/en/riders/article/i-would-like-to-get-a-refund-on-the-trip-i-didnt-take?nodeId=d0db4242-53ea-4852-832c-c65ff04dd92d,2026-06-01,not visible,help_article,"Provides a help flow for riders who did not take a requested trip but were charged. The page asks the rider to select the date or toggle below and says Uber will get back to them. It also links to Uber's refund policy and requires login for help.","Select the relevant date or toggle on the help page, log in, and submit the issue to Uber.","The page indicates the rider can report a charged trip they did not take, but does not state the decision rules for refund approval on the page itself.","The page says Uber will get back to the rider and links to the refund policy.","Yes. The rider must log in and submit details about the specific trip.",support_routing,"This page is relevant to full-trip charges for trips the rider says they did not take. It may not cover cancellation fees or temporary authorization holds by itself.","No visible last-updated date observed."
UB-002,Uber,cancellation_fee,"Review cancellation fee",https://help.uber.com/en/riders/article/review-cancellation-fee?nodeId=6bec690f-ee35-40ba-96ee-c38a8ae796e0,2026-06-01,not visible,help_article,"Explains when riders may be charged cancellation fees, when cancellation fees do not apply, how cancellation fees vary, how authorization holds can look like charges, and how riders can request review if they believe they were incorrectly charged.","Review whether the charge was a cancellation fee, full fare, or authorization hold. If the rider believes the cancellation fee was incorrect, enter the trip date or complete the linked form for a ride they did not take.","Cancellation fee timing is stated by ride type. The article says a cancellation fee will not apply if Uber detects the driver has not made progress to the pickup location or if the driver is 5 or more minutes late. It also explains that GPS-based arrival time may not perfectly match real-world coordinates.","The article does not guarantee a refund, but says riders can submit details if they believe they were incorrectly charged and Uber will get back to them.","The page routes users to enter the date for an incorrect cancellation fee or complete the linked form if they did not take the trip.","Yes. Final review depends on trip date, ride type, driver progress, driver arrival/wait time, cancellation reason, GPS-derived pickup arrival, and charge type.",explicit_policy,"This article is relevant if the charge was a cancellation fee. The broader user question may also require the trip-not-taken refund page or authorization hold explanation depending on what kind of charge the rider sees.","No visible last-updated date observed. Article notes Uber periodically experiments with cancellation policy changes, increasing freshness risk."
LY-001,Lyft,cancellation_fee,"Cancel and no-show fee policy for drivers",https://help.lyft.com/hc/en-us/all/articles/115012922847-Cancellation-and-no-show-fee-policy-for-drivers,2026-06-01,not visible,help_article,"Driver-facing article explaining when drivers are paid cancellation or no-show fees. It includes conditions such as whether the passenger's cancellation window passed and whether the driver was still on track to arrive by the original ETA.","Not applicable to rider directly. This article is for drivers and explains driver compensation conditions.","Drivers may be paid cancellation fees when rider cancellation or no-show conditions are met. For rate card regions, driver payment can depend on time and distance driven. Drivers may not be paid if they are too far from pickup or miss required no-show steps.","Does not explain rider refunds. It explains driver payment eligibility.","No direct rider escalation path. Driver-facing help content only.","Yes. Driver payout depends on ride status, ETA, driver location, and whether no-show/cancel steps were completed.",explicit_policy,"This article was the top Lyft Help search result for a rider question, but it is the wrong audience. It may confuse a customer or an AI system if retrieved without audience filtering.","No visible last-updated date observed."
LY-002,Lyft,cancellation_fee,"Cancel and no-show policy for riders",https://help.lyft.com/hc/en-us/all/articles/115012922687-Cancellation-policy-for-passengers,2026-06-01,not visible,help_article,"Rider-facing article explaining pending charges, cancellation fees, no-show fees, and how to dispute a fee. It says riders may be charged a cancellation fee in certain situations and can dispute wrongly charged cancel or no-show fees in the app.","If the rider thinks the fee was wrong, open the Lyft app, go to profile > Account > Ride history, select the ride, and choose Dispute ride charge.","Riders may be charged a cancellation fee if they cancel more than 30 seconds after a driver accepts, more than 30 seconds after requesting Wait and Save, after the driver arrives, or after 3 or more rides in a 15-minute timeframe. No-show fees may apply when the driver arrived, waited the required time, and attempted contact.","The article does not guarantee a refund. It says riders can dispute a wrongly charged cancel or no-show fee.","The article provides an in-app dispute path through Ride history > Dispute ride charge.","Yes. Final outcome depends on the ride, cancellation timing, driver arrival/progress, whether the charge was pending, and Lyft's review.",explicit_policy,"Correct rider-facing article. The exact user scenario about the driver 'not moving' is not directly addressed as an exception, so an agent should route the user to dispute rather than promise a refund.","No visible last-updated date observed."
IC-001,Instacart,missing_items,"Refunds and returns",https://www.instacart.com/help/section/3252458959/420247006,2026-06-01,not visible,help_article,"Explains refund and return policy for grocery and other retailer orders. Customers can self-report order problems within 3 days of pickup or delivery, excluding restaurant orders, for a credit or refund. Missing or damaged items may be eligible for refund or credit up to the amount paid.","Self-report order problems within 3 days of pickup or delivery. For missing items, report items that were charged on the final receipt but not received.","Missing items must be reported within 3 days of pickup or delivery. Missing items must have been charged on the final receipt. Refunds are subject to certain conditions. High-value or certified delivery items may require in-store return depending on retailer policy.","Instacart can issue a refund or credit toward a future order up to the amount paid for an item. Partial refund or credit may apply if only part of an item is missing or damaged. Instacart processes refunds immediately, though payment method or bank timing may vary.","For assistance, customers can contact Customer Experience by selecting Get Help. EBT SNAP and OTC/Medicare card refunds require contacting Instacart Customer Experience rather than the retailer.","Yes. Eligibility may depend on item, receipt, payment method, retailer policy, timing, and whether the order is grocery/retailer vs. restaurant.",explicit_policy,"This article gives refund/credit policy. It should be paired with the order-problem reporting article for step-by-step customer action.","No visible last-updated date observed."
IC-002,Instacart,missing_items,"Report a problem with your order",https://www.instacart.com/help/section/3252458959/3279632311,2026-06-01,not visible,help_article,"Explains how to report order issues such as missing items, incorrect items, damaged or spoiled items, poor replacements, late orders, wrong order delivered, and orders that never arrived. Provides app and website steps.","In the app, go to Account > Orders > Get help on the relevant order, choose the issue, select affected items, and select a preferred resolution. On the website, go to Your orders, click Report a problem, select the issue and affected items, then select a preferred resolution.","Order issues must be self-reported within 3 days of pickup or delivery. Not all issues automatically qualify for a credit or refund. EBT SNAP orders are not eligible for credit and require refund handling through Instacart Customer Experience.","Instacart can issue a credit or refund for eligible issues. Refund or credit may be up to the amount paid; partial refund or credit may apply. Same-day refund may be possible if reported within 24 hours. Credits appear in Credits, promos & gift cards and apply automatically at checkout.","The article says to log in for help and includes a Customer Experience path for some refund types such as EBT SNAP, OTC/Medicare, PayPal, or Klarna issues.","Yes. Final resolution depends on order issue, affected items, timing, payment method, eligibility, and possibly retailer policy.",explicit_policy,"This article gives the reporting flow and detailed refund/credit conditions. It is highly relevant to missing grocery items.","No visible last-updated date observed."
DD-002,DoorDash,wrong_or_incomplete_order,"How can I report a missing or incorrect item from my order?",https://help.doordash.com/en-us/consumers/article/my-order-was-missing-an-item-incorrect-order,2026-06-05,not visible,help_article,"Explains how customers can report missing or incorrect items through the DoorDash app. Distinguishes 'missing' from 'incorrect/wrong' items, walks the user through the Orders > Help reporting flow, and says resolutions may include account credit, refund, or redelivery depending on the situation. May request photo evidence of the issue.","Open DoorDash app, go to Orders, select the affected order, tap Help, choose 'Missing Items' or 'Items Made Incorrectly', select the affected items, follow prompts, and submit. Photo evidence may be requested.","Reports should be submitted shortly after the order is received. Resolutions depend on the specific order and the nature of the issue. The article says outcomes 'may include' credit, refund, or redelivery rather than guaranteeing a specific outcome.","The article says resolutions may include account credit, refund, or redelivery. It does not commit to a specific amount or guarantee any single outcome.","Routes through the in-app order help flow. No general chat/phone path on this article.","Yes. Outcome depends on the specific order, the items affected, evidence, and DoorDash review.",procedural_step,"Strong content once retrieved, but natural-language queries on DoorDash Help often fail and only keyword reformulation surfaces it.","No visible last-updated date observed."
DD-003,DoorDash,cancellation_or_refund,"Why was my order cancelled?",https://help.doordash.com/en-us/consumers/article/why-was-my-order-cancelled,2026-06-05,not visible,help_article,"Explains common reasons a DoorDash order may be cancelled (store closed, items unavailable, Dasher unable to reach the store/customer, payment issue) and how refunds are handled when DoorDash cancels an order. Routes customers to refund-status guidance for follow-up.","If your order was cancelled by DoorDash, no further action is generally required to receive a refund for items not delivered. If a charge still appears, check refund status or contact support.","States that customers are not charged for items that were not delivered when DoorDash cancels an order. Refunds may take several business days to post depending on payment method.","Indicates a refund is issued when an order is cancelled by DoorDash for undelivered items. Does not state explicit eligibility rules for customer-initiated cancellations.","Routes to refund-status article and to support if a refund does not appear.","Yes. Final outcome depends on the specific order, who cancelled, and payment-method refund timing.",explicit_policy,"Pair with DD-004 (how do I cancel my order) for customer-initiated cancellations where a charge may still apply.","No visible last-updated date observed."
DD-004,DoorDash,cancellation_or_refund,"How do I cancel my order?",https://help.doordash.com/en-us/consumers/article/how-do-i-cancel-my-order,2026-06-05,not visible,help_article,"Explains how a customer can cancel a DoorDash order and how the refund amount depends on order status at the time of cancellation: full refund if the merchant has not confirmed and a Dasher has not been assigned, partial refund if the merchant has confirmed but a Dasher has not been assigned, and no refund (or food may still be delivered) once a Dasher has been assigned and is en route.","Open DoorDash app, go to Orders, select the order, tap Help, choose Cancel Order, and follow prompts. If self-service cancellation is unavailable, contact support.","Refund eligibility is defined by a clear status-based rule set: pre-confirmation (full), confirmed-but-no-Dasher (partial), Dasher-assigned (no refund).","States refund amount by order status. Partial-refund scenarios mean the customer may still be charged for items even after canceling.","Routes to in-app cancellation flow and to support if cancellation is not possible in-app.","Yes. Refund depends on order state at the moment of cancellation, which is account- and order-specific.",explicit_policy,"This is the source that explains why a canceled order may still result in a charge. Pair with DD-003 and DD-006 for refund-status follow-up.","No visible last-updated date observed."
DD-005,DoorDash,duplicate_or_unexpected_charge,"I accidentally placed a duplicate order",https://help.doordash.com/en-us/consumers/article/i-accidentally-placed-a-duplicate-order,2026-06-05,not visible,help_article,"Addresses the scenario where a customer accidentally placed two separate orders, not a true duplicate charge for the same order. Directs the customer to cancel the duplicate through the standard in-app cancellation flow and references the refund rules tied to order status.","Cancel the duplicate order via Orders > Help > Cancel Order. Refund depends on order status at cancellation.","Refund eligibility for the duplicate order follows the standard cancellation rules (pre-confirmation, confirmed-no-Dasher, Dasher-assigned).","Refunds for a duplicate order depend on cancellation timing per DD-004's rules.","Routes to in-app cancellation flow and support.","Yes. The article addresses two distinct orders accidentally placed; it does not directly address a duplicate charge for a single order.",implicit_language,"Near-miss for 'charged twice for the same order'. Does not directly explain duplicate authorization holds or true duplicate charges.","No visible last-updated date observed."
DD-006,DoorDash,refund_status,"How can I check the status of my credit or refund?",https://help.doordash.com/en-us/consumers/article/how-can-i-check-the-status-of-my-credit-or-refund,2026-06-05,not visible,help_article,"Explains how to check refund and account-credit status. Distinguishes pending charges (typically drop off within a few business days) from posted charges (refunds may take several business days to return to the original payment method). Describes how to view credits in the account and when to contact support if a refund is past the expected window.","Check refund/credit status in the DoorDash app under Account/Orders. Review pending vs posted timing. Contact support if the refund has not arrived within the stated window.","States timing windows for pending-charge release and posted-charge refunds, and notes timing may vary by payment method or bank.","Provides timing windows and qualifies that exact timing depends on payment provider. Does not guarantee a specific refund amount.","Routes to support if refund does not arrive within the expected window.","Yes. Refund status and timing are tied to the specific order and payment method.",explicit_policy,"Strong source for refund-timing questions. Pair with DD-003/DD-004 when the underlying issue is a cancellation.","No visible last-updated date observed."
DD-007,DoorDash,support_escalation,"DoorDash Consumer Support / Help Center",https://help.doordash.com/en-us/consumers,2026-06-05,not visible,help_hub,"Top-level DoorDash consumer support hub. Surfaces 24/7 chat and phone support, Popular Articles (including missing/incorrect items and how to cancel), and guided support flows for delivery issues. Acts primarily as a routing surface rather than a single policy article.","Use 24/7 chat or call the consumer support phone number, or navigate to a Popular Article and start an in-app help flow.","Does not state policy directly; routes users to specific articles and support channels.","No refund policy stated on this page.","Exposes 24/7 chat and a consumer support phone number, plus links to guided support flows.","No. The hub itself is generic; downstream resolution is account- and order-specific.",support_routing,"This is the right answer for 'how do I contact DoorDash' even though no single article fully resolves the question. The hub's value is routing.","No visible last-updated date observed."
UB-003,Uber,wrong_or_problematic_service,"Accepting a trip price",https://help.uber.com/en/riders/article/accepting-a-trip-price?nodeId=4efa31c0-1123-48a7-b9b1-6e968a62fd6e,2026-06-05,not visible,help_article,"Explains that requesting a ride means accepting the upfront price shown in the app. Upfront prices include rate for time/distance plus fees, tolls, and surcharges. Lists conditions under which the upfront price may change: adding stops, updating destination, significant route/duration changes, or passing through a toll not factored into the upfront price. Notes wait time fees and multi-stop fees may also apply. If no upfront price is available, the rider sees a price range and the trip is priced at destination.","Review the upfront price before requesting. If the final price differs, the receipt explains why.","Upfront price may change for specific reasons (added stops, destination updates, significant route/duration changes, unaccounted tolls). Does not explicitly cover a 'driver took a bad route' dispute path.","Does not guarantee fare adjustment. Receipt explains any difference from upfront price.","Routes to receipt and downstream charge-help articles, not to a dispute form on this page.","Yes. Fare changes depend on the specific trip's route, stops, tolls, and timing.",explicit_policy,"Pair with UB-004 (price determination) for fare-dispute scenarios. Does not directly answer 'my driver took a weird route' — Google retrieved a more precise 'My driver took a poor route' article that was not captured here.","No visible last-updated date observed."
UB-004,Uber,wrong_or_problematic_service,"How is the price of a trip determined?",https://help.uber.com/en/riders/article/how-is-the-price-of-a-trip-determined?nodeId=d2d43bbc-f4bb-4882-b8bb-4bd8acf03a9d,2026-06-05,not visible,help_article,"Explains the inputs to Uber's upfront pricing: estimated trip time, distance, time of day, route, and demand patterns, plus tolls, taxes, surcharges, and fees (excluding wait time fees). Lists the conditions under which the upfront price may change (added stops, destination updates, significant route/duration changes, unaccounted tolls). Notes Uber may adjust trip payment post-trip in certain cases (e.g., a driver paid the cash toll rate). If an upfront price is not honored, the rider is charged the minimum or a price based on measured time and distance. Always receive a receipt explaining the final charge.","Review the upfront price and the receipt. If the final price differs from the upfront price, the receipt should explain why.","States that the upfront price may change for specific reasons and that the receipt will explain any difference. Does not provide a clear policy for 'driver took an inefficient route' fare adjustments.","Does not guarantee fare adjustment for route inefficiency. Mentions post-trip adjustments in narrow cases (e.g., driver-paid cash toll).","Routes to receipt and other charge-help articles.","Yes. Final fare depends on actual route, time, distance, and any tolls/wait time/multi-stop fees.",explicit_policy,"Pair with UB-003. Together they explain price formation and price changes but do not provide a clear 'my driver took a bad route' dispute path.","No visible last-updated date observed."
UB-006,Uber,unexpected_or_disputed_charge,"I think my account was hacked",https://help.uber.com/en/riders/article/i-think-my-account-was-hacked?nodeId=68905011-d5a0-4311-bd20-25c7dec719bf,2026-06-05,not visible,help_article,"Explains signs of a compromised Uber account: trip requests or completed trips the user didn't make, unexpected driver calls/texts, unrecognized receipts, unexpected account changes, payment profile changes, or password/email changes. If the user can still sign in, instructs them to reset their password. If they cannot sign in, or if they see charges on a bank account that don't appear on their Uber account, asks them to share email, phone, last 4 digits of the card, and details for support follow-up.","If signed in, reset password via Help > 'I can't sign in or request a ride' > 'I forgot my password.' If not signed in, submit account details through the form for support follow-up.","States the conditions that indicate suspicious account activity and the action paths for each case.","Does not state refund eligibility; routes to support investigation.","Routes to password reset, account recovery, and support follow-up via form submission.","Yes. Investigation requires verifying identity and ownership of charges.",support_routing,"Relevant for unrecognized-charge scenarios when the charge may indicate account compromise.","No visible last-updated date observed."
UB-007,Uber,refund_status,"Check the status of my refund",https://help.uber.com/riders/article/check-the-status-of-my-refund?nodeId=eef2c550-93d4-4cba-9716-31145c524b57,2026-06-05,not visible,help_article,"Logged-in flow that lets a rider select a trip and the date of the original charge to view how a previously requested refund was processed. The page itself is sparse — it acts as a router into account-specific refund status rather than publishing a universal refund timeline.","Select the trip and the date of the original charge to view refund status. Log in required.","Does not state a universal refund timeline on the page. Timing is shown after the rider selects the trip.","Does not guarantee specific refund timing; routes to trip-specific status.","Routes to login and trip selection; downstream paths route to support.","Yes. Refund status is tied to the specific trip and original charge.",support_routing,"Best paired with UB-008 for authorization-hold and pending-charge timing context, since UB-007 itself does not state timing windows.","No visible last-updated date observed."
UB-008,Uber,refund_status,"I haven't got refunded for estimated amount of authorization hold",https://help.uber.com/en/Riders/article/i-havent-got-refunded-for-estimated-amount-of-authorization-hold?nodeId=f3ed4ee8-0baa-4dbb-9649-984eb664e5f3,2026-06-05,not visible,help_article,"Explains pending charges and authorization holds: holds are cancelled within a few business days, though some banks may take longer. Walks through possible sources for an unrecognized or unrefunded charge: a friend/family member using the account or payment method, a charge tied to a trip/order on the account (updated fare, cancellation fee, tip), a recent cancellation, or an unresolved unknown charge that requires submitting details for review.","Review possible explanations (authorization hold, family/friend use, tied trip, cancellation). If still unrecognized, share details via the form for support review.","States that authorization holds typically drop off within a few business days, that timing can vary by bank, and that cancellation fees can appear as charges.","Does not guarantee refund timing for posted charges. Differentiates pending holds from final charges.","Routes to related articles (review duplicate charge, cancellation policy) and to support form for unresolved charges.","Yes. Resolution depends on charge type, payment method, and bank timing.",explicit_policy,"Strong context source for refund-timing and pending-charge questions. Does not give universal refund timing for all refund types.","No visible last-updated date observed."
