question_id,company,user_question,source_ids_used,ai_customer_facing_answer,source_backed_facts_used,missing_information,escalation_needed,unsupported_claims_risk,ai_faithfulness_score,ai_completeness_score,ai_safety_score,ai_escalation_correctness_score,unsupported_claims,review_notes
Q001,DoorDash,"My order says delivered, but I never received it. What should I do?",DD-001,"If your DoorDash order did not arrive, you can report it through your DoorDash account. In the DoorDash app, go to Orders, select the relevant order, tap Help, choose Delivery Issues, then select ""Order never arrived,"" and follow the prompts to either select a resolution or chat with an agent. On the desktop site, open Orders, choose the order, select Help, then under ""Delivery issues"" select ""Order never arrived"" and follow the same prompts. DoorDash says it investigates orders reported as never delivered. The public help article does not state whether a refund, credit, or redelivery is guaranteed, so the final outcome may depend on DoorDash's review of your specific order. You can also use live chat in the DoorDash app or call 855-431-0459 for live support.","Reporting path on iOS, Android, and desktop (DD-001); DoorDash investigates reports of orders that were never delivered (DD-001); after ""Order never arrived"" the user is routed to select a resolution or chat with an agent (DD-001); in-app live chat and phone 855-431-0459 (DD-001)","No published refund/credit/redelivery eligibility rules. No stated time window for reporting. The marked-delivered case is not separately addressed; the article speaks to ""did not receive"" generally.",yes,low,3,3,3,3,none,"Model used: source-constrained generation against the DD-001 snapshot only. The answer mirrors the source's procedural language and avoids outcome promises. Watch the phrase ""DoorDash investigates orders reported as never delivered"" — verbatim from source, but easy to misread as a guarantee of action."
Q007,Uber,"My driver never arrived, but I was still charged. Can I get a refund?",UB-001; UB-002,"Whether you can get a refund depends on what kind of charge you received, so the first step is identifying the charge type. If you were charged for a trip you did not take, Uber has a specific flow — open Uber's ""I would like to get a refund on the trip I didn't take"" help page, select the trip date or use the toggle to indicate you didn't take it, log in, and submit. If the charge is a cancellation fee, Uber says a cancellation fee will not apply if Uber detects your driver did not make progress to your pickup location, or if your driver was 5 or more minutes late; if you believe the cancellation fee was incorrect, enter the trip date in the cancellation-fee review form. If the amount looks like a full fare on a canceled trip, Uber says it may actually be a temporary authorization hold �Uber voids the hold immediately, but it can take a few business days to clear depending on your bank. The public articles do not guarantee a refund; Uber will get back to you after reviewing the specific trip.","Submission flow for riders who did not take a requested trip (UB-001); cancellation fee will not apply if Uber detects the driver did not make progress to pickup (UB-002); cancellation fee will not apply if the driver is 5 or more minutes late (UB-002); cancellation-fee review form (""enter the date below and we'll get back to you"") (UB-002); linked form for ""I was charged for a ride I did not take"" (UB-002); authorization-hold explanation — temporary hold voided immediately, may take a few business days to clear (UB-002); Uber will get back to the rider after submission (UB-001)","Refund timing after Uber's review is not stated. The exact ""driver appeared not to move"" scenario is not addressed as a single rule; it must be inferred from the no-progress / 5-min-late cancellation-fee exception. The articles do not state how Uber adjudicates GPS-disputed cases.",yes,medium,3,3,3,3,none,"Routed by charge type (full fare vs. cancellation fee vs. authorization hold) instead of giving a single yes/no on refund. The medium risk reflects how easy it would be for a less careful answer to escalate ""the no-progress exception"" into ""you'll be refunded.""."
Q013,Lyft,I canceled because the driver was not moving. Why was I charged a cancellation fee?,LY-002,"Lyft may charge a cancellation fee in any of these situations: you cancel more than 30 seconds after a driver accepts your ride, more than 30 seconds after requesting a Wait and Save ride, after your driver arrives, or after 3 or more rides within a 15-minute timeframe. If the charge is showing as pending rather than final, Lyft says it may be a temporary authorization that will either disappear or show as a refund within 5� 7 business days once your bank processes it. If you believe the cancellation fee was wrong — for example, because the driver did not appear to be moving toward you �you can dispute it in the Lyft app: open your profile, go to Account > Ride history, select the ride, and choose Dispute ride charge. The public rider article does not state that a stationary or non-progressing driver automatically makes you eligible for a refund, so the right next step is to file the dispute and let Lyft review the ride.","Rider cancellation-fee triggers: >30s after driver accepts, >30s after Wait and Save, after driver arrives, 3+ rides in 15 minutes (LY-002); pending charges may be temporary authorization holds that disappear or show as a refund within 5� 7 business days (LY-002); in-app dispute path via profile > Account > Ride history > Dispute ride charge (LY-002)","The rider article does not name ""driver was not moving"" as an explicit refund trigger. It does not state how Lyft adjudicates disputes that hinge on driver GPS movement. It does not state typical refund timing for an upheld dispute.",yes,medium,3,3,3,3,none,"LY-002 only; LY-001 was retrieved by the help-center search but is driver-facing and intentionally excluded from the answer to avoid retrieval contamination. The answer explicitly surfaces the gap between the user's premise (""driver wasn't moving"") and what the source actually says (no such eligibility rule), then routes to dispute. Reviewer judgment call: is that hedge appropriate customer language or too defensive?"
Q019,Instacart,My groceries are missing several items. Can I get a refund?,IC-001; IC-002,"You may be eligible for a refund or credit for missing grocery items, but it is subject to Instacart's conditions. You can self-report missing items within 3 days of pickup or delivery (restaurant orders excluded), and you should report each issue separately. In the app, tap the Account icon, go to Orders, tap Get help on the relevant order, choose the issue, select the affected items, and choose your preferred resolution. On the website, open Your orders, click Report a problem on the relevant order, select the issue and the affected items, and choose a resolution. For missing or damaged items, Instacart may issue a refund or credit up to the amount you paid; partial refunds or credits may apply if only part of an item is missing or damaged. If you report within 24 hours of receiving the order, a same-day refund may apply, shown as an adjustment to the original charge. A few payment types are handled separately, EBT SNAP orders are refund-only and handled by Instacart Customer Experience, and PayPal or Klarna refunds are returned to those accounts.","Self-report within 3 days of pickup or delivery; restaurant orders excluded (IC-001, IC-002); items must be missing from the final receipt (IC-001); refund or credit up to the amount paid; partial refund/credit possible (IC-001, IC-002); reporting steps in the app and on the website (IC-002); same-day refund possible if reported within 24 hours and appears as an adjustment to the original charge (IC-002); EBT SNAP refund-only via Customer Experience (IC-002); PayPal/Klarna refunds returned to those accounts (IC-002); high-value or certified-delivery items may require in-store return (IC-001); refunds subject to certain conditions (IC-001)","The articles do not list every condition that would make a missing-item claim ineligible. They do not state typical refund timing beyond ""immediately"" plus bank-dependent posting. They do not address what to do if the affected items cannot be found in the reporting UI.",yes,low,3,3,3,3,none,"Opens with ""You may be eligible…"" rather than ""Yes, you can get a refund."" — the Google AI Overview captured during retrieval used the stronger ""you can absolutely get a refund,"" which this answer deliberately avoids. Reviewer should sanity-check that the conditional framing is preserved throughout."
Q002,DoorDash,"My food showed up but some items are missing. Can I get money back?",DD-002,"You can report missing items to DoorDash through the app. Open the DoorDash app, go to Orders, select the affected order, tap Help, and choose 'Missing Items' (or 'Items Made Incorrectly' if items are wrong). Select the affected items and follow the prompts; DoorDash may ask for photo evidence. According to the help article, resolutions for missing or incorrect items 'may include' account credit, refund, or redelivery — the specific outcome depends on the order and DoorDash's review. The article does not guarantee a particular resolution or refund amount.","App reporting flow Orders > Help > Missing Items / Items Made Incorrectly (DD-002); photo evidence may be requested (DD-002); resolutions may include account credit, refund, or redelivery (DD-002); reports should be made shortly after receiving the order (DD-002); outcomes depend on the specific order and DoorDash review (DD-002).","No published refund amount or eligibility rule. No specific reporting time window beyond 'shortly.' No desktop reporting steps in the captured snapshot.",yes,low,,,,,,"Source-constrained against DD-002 only. Uses 'may include' rather than promising refund."
Q003,DoorDash,"I canceled my DoorDash order but I still got charged. Why?",DD-003; DD-004,"Whether you were charged after canceling depends on the order status at the moment you canceled. DoorDash's cancellation article (DD-004) explains a status-based refund table: if you canceled before the merchant confirmed your order and no Dasher was assigned, you should receive a full refund; if the merchant had confirmed your order but a Dasher had not yet been assigned, you may receive a partial refund; if a Dasher had already been assigned, no refund is issued and the food may still be delivered. If DoorDash canceled the order on its end, the article on cancellation reasons (DD-003) says you should not be charged for items not delivered, and a refund of any posted charge may take several business days to appear depending on payment method. If you still see an unexplained charge, check refund status in the app and contact DoorDash support.","Full refund pre-confirmation no-Dasher (DD-004); partial refund confirmed-no-Dasher (DD-004); no refund Dasher-assigned, food may still be delivered (DD-004); when DoorDash cancels, customer not charged for items not delivered (DD-003); refund may take several business days depending on payment method (DD-003); cancel via Orders > Help > Cancel Order (DD-004).","No stated refund timing per payment method beyond 'several business days.' No rule for customer-initiated cancellations after merchant prep is complete other than the status-based table.",yes,low,,,,,,"Routes refund explanation by order status. Avoids guaranteeing a refund without status context."
Q004,DoorDash,"DoorDash charged me twice for the same order. How do I fix it?",DD-005; DD-004,"The captured DoorDash public help articles do not directly address a true duplicate charge on a single order. The closest article, 'I accidentally placed a duplicate order' (DD-005), covers the case where two separate orders were placed by accident: cancel the duplicate through Orders > Help > Cancel Order, with refund eligibility following the standard cancellation rules in DD-004 (full refund pre-confirmation, partial refund after merchant confirms but no Dasher, no refund once a Dasher is assigned). For a duplicate charge on one order, the captured public docs do not distinguish between a pending authorization hold and a posted duplicate charge. The safest next step is to contact DoorDash support to investigate.","Duplicate-order cancellation routed through the standard cancel flow (DD-005); standard cancellation refund rules (DD-004); DoorDash 24/7 chat and phone support (DD-007).","No policy in captured sources distinguishing pending duplicate authorization from posted duplicate charge. No stated refund timing or guarantee for duplicate charges. No rule for true single-order duplicate billing.",yes,low,,,,,,"Deliberately limited — captured sources do not cover the precise question. Answer routes to support."
Q005,DoorDash,"DoorDash said I got a refund, but I don't see it in my bank account.",DD-006,"DoorDash's refund-status article (DD-006) explains the typical timing: pending charges typically drop off within a few business days, and refunds to posted charges may take several business days to return to your original payment method, depending on your bank or payment provider. You can check refund and credit status in the DoorDash app under your account or order history. If the refund is past the expected window, contact DoorDash support.","Pending charges drop off within a few business days (DD-006); posted-charge refunds may take several business days depending on bank (DD-006); account credits viewable in app (DD-006); contact support if past expected window (DD-006).","No exact business-day count. Bank-specific timing not specified.",yes,low,,,,,,"Mirrors source's qualified timing language. No external timing claims."
Q006,DoorDash,"The app isn't helping with my order problem. How do I talk to someone?",DD-007,"DoorDash offers 24/7 customer support through chat and phone. You can reach support through the DoorDash Help Center at help.doordash.com/consumers (DD-007), which surfaces Popular Articles and guided support flows. The captured DoorDash never-delivered article (DD-001) also lists in-app live chat and a phone number, 855-431-0459, for live support.","24/7 chat and phone support (DD-007); Popular Articles + guided support flows (DD-007); in-app live chat (DD-001); phone 855-431-0459 (DD-001).","No published support response time. No explicit routing rule between chat and phone.",yes,low,,,,,,"Phone number pulled from DD-001 snapshot since DD-007's summary does not include it inline."
Q008,Uber,"My Uber fare was way higher than expected because the driver took a weird route.",UB-003; UB-004,"Uber's public pricing articles (UB-003, UB-004) explain that the upfront price you saw can change for specific reasons: adding stops, updating your destination, significant changes to the route or duration of the trip, or passing through a toll that was not factored into the upfront price. The articles also note that wait time fees and multi-stop fees may apply. If the upfront price is not honored, Uber says you'll be charged the minimum price or a price based on the measured time and distance for your trip, and your receipt should explain any difference between the upfront price and the final charge. The captured Uber pricing articles do not include a specific dispute path for 'my driver took an inefficient route' beyond reviewing the receipt; for a fare review, follow the trip-specific help flow in the app or on Uber Help.","Reasons upfront price may change: added stops, destination updates, significant route/duration changes, unaccounted tolls (UB-003, UB-004); wait time and multi-stop fees (UB-003); if upfront not honored, minimum or measured time/distance price (UB-004); receipt explains differences (UB-004).","No clear 'driver took a bad route' dispute path or eligibility rule in captured sources. No stated outcome or timing for fare review.",yes,medium,,,,,,"Captured sources do not address the precise scenario; answer avoids promising a fare adjustment. Medium risk because external content (Google AI Overview) overpromises here."
